# Time	f1(t)	f2(t)
2.640132e+00	1.789182e-03	1.290792e-09
2.660133e+00	1.778618e-03	1.298997e-09
2.680134e+00	1.768216e-03	1.307102e-09
2.700135e+00	1.757971e-03	1.315110e-09
2.720136e+00	1.747878e-03	1.323021e-09
2.740137e+00	1.737932e-03	1.330836e-09
2.760138e+00	1.728129e-03	1.338556e-09
2.780139e+00	1.718463e-03	1.346181e-09
2.800140e+00	1.708930e-03	1.353713e-09
2.820141e+00	1.699526e-03	1.361152e-09
2.840142e+00	1.690247e-03	1.368499e-09
2.860143e+00	1.681089e-03	1.375755e-09
2.880144e+00	1.672049e-03	1.382920e-09
2.900145e+00	1.663123e-03	1.389996e-09
2.920146e+00	1.654307e-03	1.396983e-09
2.940147e+00	1.645599e-03	1.403882e-09
2.960148e+00	1.636994e-03	1.410695e-09
2.980149e+00	1.628491e-03	1.417420e-09
3.000150e+00	1.620086e-03	1.424060e-09
3.020151e+00	1.611776e-03	1.430615e-09
3.040152e+00	1.603558e-03	1.437086e-09
3.060153e+00	1.595431e-03	1.443473e-09
3.080154e+00	1.587391e-03	1.449778e-09
3.100155e+00	1.579437e-03	1.456001e-09
3.120156e+00	1.571565e-03	1.462142e-09
3.140157e+00	1.563774e-03	1.468203e-09
3.160158e+00	1.556062e-03	1.474184e-09
3.180159e+00	1.548426e-03	1.480085e-09
3.200160e+00	1.540864e-03	1.485908e-09
3.220161e+00	1.533376e-03	1.491653e-09
3.240162e+00	1.525958e-03	1.497321e-09
3.260163e+00	1.518609e-03	1.502913e-09
3.280164e+00	1.511327e-03	1.508428e-09
3.300165e+00	1.504111e-03	1.513869e-09
3.320166e+00	1.496959e-03	1.519234e-09
3.340167e+00	1.489870e-03	1.524526e-09
3.360168e+00	1.482841e-03	1.529744e-09
3.380169e+00	1.475873e-03	1.534889e-09
3.400170e+00	1.468963e-03	1.539963e-09
3.420171e+00	1.462110e-03	1.544964e-09
3.440172e+00	1.455313e-03	1.549895e-09
3.460173e+00	1.448570e-03	1.554755e-09
3.480174e+00	1.441880e-03	1.559546e-09
3.500175e+00	1.435243e-03	1.564267e-09
3.520176e+00	1.428657e-03	1.568920e-09
3.540177e+00	1.422121e-03	1.573505e-09
3.560178e+00	1.415634e-03	1.578022e-09
3.580179e+00	1.409196e-03	1.582472e-09
3.600180e+00	1.402804e-03	1.586856e-09
3.620181e+00	1.396458e-03	1.591174e-09
3.640182e+00	1.390158e-03	1.595426e-09
3.660183e+00	1.383902e-03	1.599614e-09
3.680184e+00	1.377690e-03	1.603738e-09
3.700185e+00	1.371520e-03	1.607797e-09
3.720186e+00	1.365393e-03	1.611794e-09
3.740187e+00	1.359306e-03	1.615728e-09
3.760188e+00	1.353261e-03	1.619599e-09
3.780189e+00	1.347255e-03	1.623409e-09
3.800190e+00	1.341288e-03	1.627158e-09
3.820191e+00	1.335359e-03	1.630846e-09
3.840192e+00	1.329469e-03	1.634473e-09
3.860193e+00	1.323615e-03	1.638041e-09
3.880194e+00	1.317799e-03	1.641550e-09
3.900195e+00	1.312018e-03	1.645000e-09
3.920196e+00	1.306272e-03	1.648391e-09
3.940197e+00	1.300562e-03	1.651725e-09
3.960198e+00	1.294886e-03	1.655001e-09
3.980199e+00	1.289243e-03	1.658221e-09
4.000200e+00	1.283634e-03	1.661383e-09
4.020201e+00	1.278058e-03	1.664490e-09
4.040202e+00	1.272515e-03	1.667542e-09
4.060203e+00	1.267003e-03	1.670538e-09
4.080204e+00	1.261523e-03	1.673479e-09
4.100205e+00	1.256073e-03	1.676366e-09
4.120206e+00	1.250655e-03	1.679200e-09
4.140207e+00	1.245266e-03	1.681979e-09
4.160208e+00	1.239908e-03	1.684706e-09
4.180209e+00	1.234579e-03	1.687381e-09
4.200210e+00	1.229279e-03	1.690003e-09
4.220211e+00	1.224008e-03	1.692573e-09
4.240212e+00	1.218765e-03	1.695092e-09
4.260213e+00	1.213550e-03	1.697561e-09
4.280214e+00	1.208363e-03	1.699978e-09
4.300215e+00	1.203203e-03	1.702346e-09
4.320216e+00	1.198070e-03	1.704664e-09
4.340217e+00	1.192964e-03	1.706932e-09
4.360218e+00	1.187885e-03	1.709152e-09
4.380219e+00	1.182832e-03	1.711323e-09
4.400220e+00	1.177804e-03	1.713446e-09
